"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Guo B.; Jiang Z.-B.","Guo, Bo (57431067200); Jiang, Zhi-Bin (57221459806)","57431067200; 57221459806","Influence of personalised advertising copy on consumer engagement: a field experiment approach","2025","Electronic Commerce Research","25","2","106190","1281","1310","12","10.1007/s10660-023-09721-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001082881&doi=10.1007%2Fs10660-023-09721-5&partnerID=40&md5=778bc7bf95f4c491c7e95bacf97a24c2","Personalised advertising copy refers to the use of AI technologies such as natural language processing and machine learning to generate individually tailored ads based on consumer profiles and product information. It is affected by consumer profiles, product or brand selling points and language models. Personalised advertising copy has the following characteristics: it takes into account individual differences among consumers, it aims to generate a massive number of ads, and it is centred on matching individually tailored advertising copy to each and every consumer in a manner that is dependent on data and algorithms. Given that consumer engagement is an important criterion for evaluating the effectiveness of advertisements, this study compared the influence of personalised ads on consumer engagement with that of traditional advertisements created by professional advertising copywriters. Data from two large-scale field experiments examining the effectiveness of advertising copywriting for two car models advertised on Autohome, a leading online platform for automobile consumers in China, which both lasted for 188 days and involved 1.455 million consumers, show that personalised advertising copy generates better results in the cognitive, behavioural and emotional dimensions of consumer engagement. That is, consumer engagement is mainly driven by individually tailored advertising copy on a large-scale basis using human–machine coupling. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.","Article","Final","","Scopus","2-s2.0-105001082881"
"Huang Y.; Hu J.","Huang, Yangyang (57226814590); Hu, Jie (57443861100)","57226814590; 57443861100","Design and implementation of song text generation for smart speakers","2021","Proceedings of 2021 IEEE International Conference on Data Science and Computer Application, ICDSCA 2021","","","","835","836","0","10.1109/ICDSCA53499.2021.9650311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124222295&doi=10.1109%2FICDSCA53499.2021.9650311&partnerID=40&md5=4b3ac4261d543ad5238fe9126a088b1b","In recent years, more and more artificial intelligence (AI) technologies have been receiving increasing research interest with our lives. In fact, Face recognition, sweeping robots, driverless and so on are closely related to our lives, bringing a lot of convenience to our lives and work. Meanwhile, another AI technology, smart speakers have slowly come into our view in recent years. Especially smart speakers this cake can be hotspot issues in the field of artificial intelligence. Subsequently, smart speakers have many functions, such as listening to the radio, check the weather, intelligent reminders, control of home appliances, etc., but most people are used to enjoy music with smart speakers. Generally speaking, when the user and smart speaker dialogue to achieve the process of playing music, the current practice of most manufacturers is to directly play the song the user wants to hear, or insert the style of fixed text before playing the song. In order to bring users a better music experience and let them understand the connotation of the song more deeply, this paper intends to adopt a radio-like approach, inserting some personalized song text before playing music on the smart speaker. This radio-like song text not only increases the user's music experience, but also allows users to use music as a support to express their personal feelings. However, music text information has been growing exponentially in recent years and people are creating a large amount of music-related texts every day, hence, how to extract important contents as personalized song texts from this huge amount of data is still a pressing problem. Therefore, the topic of this paper is to use the Seq2Seq+Attention model based on Tensorflow [1] to automatically obtain short, relevant, and personalized song texts from the song corpus efficiently. © 2021 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85124222295"
"Meeker J.","Meeker, Jack (60335097000)","60335097000","Ethical artificial intelligence adoption in marketing teams: The FAIR framework","2025","Applied Marketing Analytics","11","3","","212","224","0","10.69554/JKYK3915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027535251&doi=10.69554%2FJKYK3915&partnerID=40&md5=b84fbdf0577c2dcad34964c27c1941ef","Artificial intelligence (AI) powered tools, from generative copywriting assistants to predictive analytics engines, are transforming how marketing teams operate. As marketers increasingly rely on these technologies to automate content creation, accelerate campaign execution and personalise outreach at scale, ethical considerations often fall to the wayside amid rapid market adoption. While much of the existing discourse on AI ethics focuses on product development or data governance, there remains a critical lack of guidance for marketing teams that use AI internally to shape their day-to-day decision making and external brand presence. This paper will address that ethical gap by introducing FAIR, a practical ethical framework informed by applied marketing experience and wider principles drawn from traditions in applied ethical theory. The framework emphasises four core values: focus on intent, accountable teams, informed consent and responsible scaling. Drawing from real-world use cases and research, the paper presents five actionable best practices in ethical AI using the FAIR method. Together, the framework and practices will form a practical guide for marketing leaders, content strategists and operations teams seeking to adopt AI responsibly within marketing teams while grounding work in organisational integrity and human-centred ethical evaluation. This article is also included in The Business & Management Collection which can be accessed at https://hstalks.com/business/. © Henry Stewart Publications.","Article","Final","","Scopus","2-s2.0-105027535251"
"Fernández-Cavia J.","Fernández-Cavia, José (14071333800)","14071333800","Playing With Words: The Use of GenAI by Advertising Copywriters","2025","AI Impacts on Branded Entertainment and Advertising","","","","1","19","1","10.4018/979-8-3693-3799-8.ch001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007275592&doi=10.4018%2F979-8-3693-3799-8.ch001&partnerID=40&md5=0b052780bb24d904d959fdfdcff7e03d","Artificial Intelligence (AI) is a major driver of change in the advertising industry. Its impact has recently extended to the creative process within agencies through the implementation of Generative AI (GenAI) tools for producing images and texts. Advertising copywriters are beginning to incorporate GenAI tools into their daily work, but there are still few studies on how they use them. This research addresses this gap through an exploratory study of 20 questionnaires and in- depth interviews with professionals working in Spain. Results show that GenAI is currently viewed by copywriters as a complementary tool, particularly for searching for information and generating new ideas, but not as much for the writing process itself. The main perceived disadvantages are the lack of creativity and the lack of quality of the texts that GenAI is currently capable of producing. Moreover, advertising agencies often do not formally train their employees in the use of GenAI for copywriting, as they generally lack a strategic approach to leveraging these new technological advances. © 2025, IGI Global Scientific Publishing.","Book chapter","Final","","Scopus","2-s2.0-105007275592"
"Tseng K.-K.; Hu B.; Li F.","Tseng, Kuo-Kun (7102185131); Hu, Bin (57223106310); Li, Fuqing (59216835800)","7102185131; 57223106310; 59216835800","Designing Courses on Foundations and Applications of Large AI Models","2025","Learning and Analytics in Intelligent Systems","51","","","125","133","0","10.1007/978-3-031-95252-4_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011493575&doi=10.1007%2F978-3-031-95252-4_12&partnerID=40&md5=cdcb3ac2682ec61c5931008faace5adc","This paper introduces the course titled “Foundations and Applications of Large AI Models,” which is offered to all students across the university by the School of Computer Science and Technology. The course aims to provide a comprehensive understanding of the basic concepts, development history, core technological principles, and application cases of artificial intelligence (AI) and large models, while also addressing their ethical, legal, and societal impacts. The course content encompasses various aspects, including the underlying technologies of large models, language large models, text processing techniques, multimodal large models, image analysis technologies, stable diffusion large models, image generation techniques, applications in copywriting and cultural creativity, code generation, video generation, stock and housing price prediction, robotics, autonomous driving, and AI ethics. The teaching methods employed in this course include lecture-based instruction, case analysis, group discussions, interactive question-and-answer sessions, hands-on demonstrations, and project report-based learning. The assessment methods for the course consist of regular assignments and a final report, focusing on knowledge mastery, skill application, thinking cultivation, knowledge integration, analysis and application, and innovative thinking. Through this course, students will develop critical thinking skills, interdisciplinary integration abilities, and habits of continuous learning, preparing them well for future career development. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Conference paper","Final","","Scopus","2-s2.0-105011493575"
"Sallaku K.; Macca L.S.; Santoro G.; Thu Phan T.","Sallaku, Karolina (59366564900); Macca, Luca Simone (58804021000); Santoro, Gabriele (57188548742); Thu Phan, Trang (59751732100)","59366564900; 58804021000; 57188548742; 59751732100","Advertising in the digital era: Can AI evoke emotions like humans?","2025","Business Process Management Journal","31","5","","1785","1811","5","10.1108/BPMJ-07-2024-0637","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003439898&doi=10.1108%2FBPMJ-07-2024-0637&partnerID=40&md5=352bb8cbb1be853f1dc03307d268e77e","Purpose This study investigates the variations in consumers’ affective responses to AI-generated versus human-generated content in a firm’s advertising copywriting, analysing emotional reactions to short-form promotional text across three affective dimensions—Pleasure, Arousal, and Dominance—from the PAD emotional model. Design/methodology/approach A Mann-Whitney analysis on SPSS 29 is conducted to assess group differences on a sample of 222 participants randomly assigned to one of two experimental conditions. The analysis evaluates group variances across emotional constructs alongside three control variables: AI Encounter, AI recognition and AI trust. Findings The results indicate no significant differences among groups regarding the main emotional dimensions, suggesting relevant implications for AI integration in business process automations. However, trust and familiarity with AI technology influence consumers’ responses differently across conditions. Originality/value This study sheds light on new business opportunities for enhancing creative communication processes with AI implementation, providing practitioners with relevant insights to improve advertising and copywriting by collaboratively using AI in crafting emotionally engaging advertisements for effective communication strategies. © 2025 Emerald Publishing Limited","Article","Final","","Scopus","2-s2.0-105003439898"
"Kubovics M.","Kubovics, Michal (57220856992)","57220856992","Experience With Artificial Intelligence and Attitudes Towards Social Media Copywriting","2025","Proceedings of the European Conference on Innovation and Entrepreneurship, ECIE","20","1","","357","362","0","10.34190/ecie.20.1.3769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029904513&doi=10.34190%2Fecie.20.1.3769&partnerID=40&md5=91dea68200e088eecaff6d81bb2cad52","Artificial Intelligence (AI) is one of the most discussed phenomena in social media marketing communications today. Its application offers extensive possibilities for streamlining the production of media and advertising texts, thus fundamentally changing the established methods of work of marketers. The present study investigates how individual experience with different AI technologies influences users' attitudes towards the prospectivity of AI in copywriting in the digital environment. Specifically, three areas of AI technologies were analysed: generative AI tools, natural language processing (NLP), and machine learning (ML). Data for this study was collected through quantitative research via an online questionnaire, with a total of 1308 respondents from different age and social groups. It was hypothesized that experience with these technologies would significantly influence respondents' attitudes towards the use of AI in marketing communications. Statistical analysis (chi-square tests and multinomial logistic regression) confirmed these hypotheses. Respondents who had direct experience with generative AI tools, NLP or ML technologies demonstrated statistically significantly more positive attitudes towards the application of AI in content creation. However, the overall frequency of use of AI technologies had the strongest effect on positive expectations. Thus, the results point to the fact that more interaction with AI increases trust and acceptance of its applications in marketing. The findings of the study have important implications for practice. Marketers and social media managers should emphasize actively engaging customers in interactions with AI technologies, which can increase their positive perceptions of AI-generated content. The paper also discusses the limitations of the research and suggests future directions for further study, recommending a combination of quantitative and qualitative methods to gain deeper insights. The study contributes to the academic debate on the importance of understanding consumer attitudes when implementing AI in digital marketing. © 2025 Academic Conferences and Publishing International Limited. All rights reserved.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105029904513"
"Tran C.; Parayno R.L.; Venkitachalam B.K.; Deja J.A.; Deja J.A.","Tran, Corey (59937012100); Parayno, Richard Lance (58202262100); Venkitachalam, Bharat Krishna (58959140800); Deja, Janna Aika (58285314300); Deja, Jordan Aiko (57203125622)","59937012100; 58202262100; 58959140800; 58285314300; 57203125622","The Probing Machine: Can Using GenAI Tools Help With Better Reflections During User Interviews","2025","Lecture Notes in Computer Science","15821 LNAI","","","72","88","0","10.1007/978-3-031-93418-6_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007769378&doi=10.1007%2F978-3-031-93418-6_6&partnerID=40&md5=7bae3f046f92d48f8e0a02062832322c","User interviews, like many other insight-rich UX research techniques, can be enhanced by AI-driven tools. While AI has been employed for tasks such as copywriting and paraphrasing, its potential for deeper activities like reflection and probing remains underexplored. To bridge this gap, we developed intavue.ai, a tool designed to support UX researchers by generating interview questions tailored to research goals. We evaluated the tool through a validation study (n=6), where results from SUPR-Q and cognitive load measures were positive. Building on this, we conducted a between-subject study (n=12) to investigate whether intavue.ai is more effective during its first or second use. Findings revealed a reduction in effort during the first use, while other metrics remain areas for further investigation. Finally, we provide design recommendations, including the concept of “probing with quintets” and extending applications to other reflective UX research methods, such as focus groups and brainstorming sessions. Our work underscores the transformative potential of AI-driven tools in enhancing qualitative research practices, fostering more meaningful and efficient user engagement. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Conference paper","Final","","Scopus","2-s2.0-105007769378"
"Pascoal S.","Pascoal, Sara (57215000904)","57215000904","Uncreative Writing: Teaching Rhetoric in the Age of AI","2025","Lecture Notes in Networks and Systems","858 LNNS","","","301","310","0","10.1007/978-3-031-74751-9_28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211370182&doi=10.1007%2F978-3-031-74751-9_28&partnerID=40&md5=9df8a17428660bb12eeb647881668ea6","Rhetoric, Aristotle's art of persuasion, holds contemporary relevance in diverse realms such as politics, economics, and daily communication. This paper explores the enduring influence of rhetoric, from its historical roots to its modern applications in marketing, public relations, and digital contexts. Specifically, it investigates an experimental teaching strategy within a course unit of Rhetoric and Argumentation, included in the context of an undergraduate Business Communication curriculum, emphasizing the fusion of classical rhetoric principles with the demands of the digital age. The study involves students crafting Press Releases, juxtaposed with AI-generated content from tools like ChatGPT, WriteSonic or CopyAI. Through a comparative peer and blind analysis, the research assesses factors like structure, reliability, style, and persuasion. Findings reveal distinctions between human and AI-generated content, shedding light on potential applications and challenges in integrating AI tools for teaching writing skills. This exploration contributes insights into the dynamic relationship between traditional and digital rhetoric in contemporary communication education, stressing and remind us that we should adopt a new paradigm in the way we teach and manage language in the digital age. Writing has become more mechanical because of technology. Consequently, authors are investigating and engaging in forms of writing that were formerly believed to be outside the scope of literary practice: © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Conference paper","Final","","Scopus","2-s2.0-85211370182"
"Kenthapadi K.; Lakkaraju H.; Rajani N.","Kenthapadi, Krishnaram (12239006400); Lakkaraju, Himabindu (37104369800); Rajani, Nazneen (37075761000)","12239006400; 37104369800; 37075761000","Generative AI meets Responsible AI: Practical Challenges and Opportunities","2023","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","5805","5806","81","10.1145/3580305.3599557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171327319&doi=10.1145%2F3580305.3599557&partnerID=40&md5=b4cc923a3d63acf52b41d4b8ee96befc","Generative AI models and applications are being rapidly developed and deployed across a wide spectrum of industries and applications ranging from writing and email assistants to graphic design and art generation to educational assistants to coding to drug discovery. However, there are several ethical and social considerations associated with generative AI models and applications. These concerns include lack of interpretability, bias and discrimination, privacy, lack of model robustness, fake and misleading content, copyright implications, plagiarism, and environmental impact associated with training and inference of generative AI models. In this tutorial, we first motivate the need for adopting responsible AI principles when developing and deploying large language models (LLMs) and other generative AI models, as part of a broader AI model governance and responsible AI framework, from societal, legal, user, and model developer perspectives, and provide a roadmap for thinking about responsible AI for generative AI in practice. We provide a brief technical overview of text and image generation models, and highlight the key responsible AI desiderata associated with these models. We then describe the technical considerations and challenges associated with realizing the above desiderata in practice. We focus on real-world generative AI use cases spanning domains such as media generation, writing assistants, copywriting, code generation, and conversational assistants, present practical solution approaches / guidelines for applying responsible AI techniques effectively, discuss lessons learned from deploying responsible AI approaches for generative AI applications in practice, and highlight the key open research problems. We hope that our tutorial will inform both researchers and practitioners, stimulate further research on responsible AI in the context of generative AI, and pave the way for building more reliable and trustworthy generative AI applications in the future.  © 2023 Owner/Author.","Conference paper","Final","","Scopus","2-s2.0-85171327319"
"Provasi V.; Duarte A.","Provasi, Veronica (60098500500); Duarte, Alexandre (60098935500)","60098500500; 60098935500","The Impact and Consequences of Artificial Intelligence in Copywriting","2024","Navigating Organizational Behavior in the Digital Age with AI","","","","305","336","1","10.4018/979-8-3693-8442-8.ch012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015929490&doi=10.4018%2F979-8-3693-8442-8.ch012&partnerID=40&md5=d67d7f691c0d31c4770144ef6aece18c","The implications of artificial intelligence (AI) on content creation, especially the impact on copywriting remain little explored in Academia. This article aims to determine the ability of social media users to distinguish AI-generated content from human-crafted prose. Using a mixed methodology, this study combines qualitative insights from a focus group, with quantitative data (n=514) from an online experiment. Results indicate a discord in discernment skill based on the specific content pairs presented, with no overarching consensus on AI's detectability. This signifies how AI can be recognized if used by inexperienced hands, but it cannot if used correctly as a tool. The study revealed that participants consistently underestimated AI's capabilities, highlighting a gap between perceived and actual discernment abilities, and showing that participants with a writing background demonstrated a higher accuracy rate. This research emphasizes the need for a holistic understanding that integrates the technological prowess of AI and the intricate human factors influencing content perception. © 2025 by IGI Global Scientific Publishing. All rights reserved.","Book chapter","Final","","Scopus","2-s2.0-105015929490"
"Albadarneh A.M.; Daradkah A.M.; Telfah E.A.; Haggag H.M.; Ghawanmeh F.F.; Al-Shunnaq Y.A.; Tawalbeh M.S.; Mahmoud A.M.A.; Shahine K.; Daradkah H.S.","Albadarneh, Atieh Mohd (58752041700); Daradkah, Amjad Mahmoud (58234399800); Telfah, Esraa Ahmed (58905825300); Haggag, Haggag Mohamed (58207177300); Ghawanmeh, Fadi Fuad (59342709700); Al-Shunnaq, Yasmin Abdullah (59342851200); Tawalbeh, Maria Salih (59342851300); Mahmoud, Ashraf Mahmoud Ahmed (58639985600); Shahine, Karima (59342155400); Daradkah, Heba Sadiq (59342292200)","58752041700; 58234399800; 58905825300; 58207177300; 59342709700; 59342851200; 59342851300; 58639985600; 59342155400; 59342292200","Integrating Artificial Intelligence-Powered Large Language Models in English as a Foreign Language EFL Teacher Education Programs","2024","Pakistan Journal of Life and Social Sciences","22","1","","3006","3015","5","10.57239/PJLSS-2024-22.1.00219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204104281&doi=10.57239%2FPJLSS-2024-22.1.00219&partnerID=40&md5=948c41033a149fe7f4170e577ca3da4e","Large Language Models LLMs are revolutionary advancement in Artificial Intelligence AI studies that affected different disciplines including teacher education. This research aimed to identify the current LLM oriented practices in English as a Foreign Language EFL teacher education programs in the Arabian context. The research adopts the descriptive analytical design through the application and analysis of Large Language Models questionnaire designed by the researchers. The questionnaire included (12) key LLM types and it was run over (540) pre-service EFL teachers in different Arabian teacher education contexts. Results showed that two models were reported to be highly utilized by the participants; these models were (chat models, and questioning models). Further, six models reported to be (mid), these models were (copywriting models, creation models, tuning models, inference models, research models, and exams models). In addition, four models reported to be used in (low) levels by the participants, these models were (coding models, developers' models, operation models, and hardware models). Based on the obtained results, the research recommends integrating different types of LLMs in EFL teaching education programs based on their actual performances over these models. These models include copyrighting, creation, tuning, questioning, and inference models as well; besides, considering its risks such as lack of adaptability, bias, cost and other use-oriented limitations. © (2023), (Elite Scientific Publications). All Rights Reserved.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85204104281"
"Orchard T.; Tasiemski L.","Orchard, Tim (58541676300); Tasiemski, Leszek (58541514500)","58541676300; 58541514500","The rise of Generative AI and possible effects on the economy","2023","Economics and Business Review","9","2","","9","26","33","10.18559/ebr.2023.2.732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168381943&doi=10.18559%2Febr.2023.2.732&partnerID=40&md5=394c4ca3da226d50b5093498f63d163f","The aim of the paper is to analyse the likely implications of Generative AI (GAI) on various aspects of business and the economy. Amid the rapid growth and maturing of Generative AI technologies such as Large Language Models (like ChatGPT by OpenAI) a rapid growth of both immediate and potential applications can be seen. The implications for the economy and industries of this technological shift will be discussed. The foreseeable scenarios for the level and types of adoption that GAI might achieve - from useful analytical tool, invaluable assistant to the white-collar workers of the world to being trusted with a wide array of business and life-critical decision making. Both disruptive and premium service opportunities are foreseen. For instance, general purpose models may provide quality service - such as copywriting - to overserved customers leaving human writers as the premium option. In this context, overserved customers would be those who would be satisfied with a non-human, potentially less creative content. On the other hand highly specialized models - specifically trained in a given domain and with access to proprietary knowledge can possibly provide a premium service over that provided by human experts. It is expected that some jobs will be replaced by new AI applications. However, new workplaces will emerge. Not only the obvious expert-level data scientist roles but also low grade, ""model supervisors""- people training the models, assessing the quality of responses given and handling escalations. Lastly new cybercrime risks emerging from the rise of GAI are discussed.  © 2023 Tim Orchard et al., published by Sciendo.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85168381943"
"Ali E.H.F.; Kottaparamban M.; Ahmed F.E.Y.; Usmani S.; Hamd M.A.A.; Hamed S.O.E.; Ibrahim M.A.E.-S.","Ali, Elsadig Hussein Fadlalla (59327657700); Kottaparamban, Musadhique (58259107400); Ahmed, Fawzi Eltayeb Yousuf (58258344000); Usmani, Saima (59343442200); Hamd, Muna Abdalatif Abbass (60228039000); Hamed, Sarah Osman Eltom (60074563200); Ibrahim, Mohammed Ali El-Siddig (59198498500)","59327657700; 58259107400; 58258344000; 59343442200; 60228039000; 60074563200; 59198498500","Beyond the human pen: The role of artificial intelligence in literary creation","2025","Research Journal in Advanced Humanities","6","4","","","","2","10.58256/c0ymkm61","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024102328&doi=10.58256%2Fc0ymkm61&partnerID=40&md5=6bf36d30dd56ea178825f724d828e557","Artificial Intelligence (AI) is increasingly shaping the landscape of literary creation, offering new possibilities for writing that engage with, extend, and sometimes challenge traditional human literary practices. This study examines the multifaceted role of AI in literature, focusing on its impact on authorship, creativity, and the creation of literary texts. It evaluates AI-generated works in terms of style, coherence, and literary merit, examining how such texts interact with human imagination and cultural expectations. It highlights the potential for AI to inspire writers, generate new narrative strategies, and increase the boundaries of literary experimentation, while also raising critical concerns about authenticity, artistic value, and the ethical implications of machine-assisted writing. Through comparative analysis and stylistic evaluation, the research investigates how AI influences literary expression, allowing the creation of texts that are sometimes indistinguishable from human writing in tone and style. The study suggests that AI is not merely a tool but an active participant in literary processes, capable of enriching creative practice while prompting reflection on the evolving relationship between human authors and intelligent systems. Empirical findings exposed that AI-driven content generation dominates article writing (85.1%) and copywriting (47.8%), while human-authored texts retain higher idea density (0.5) than AI-generated counterparts (0.4), underscoring stylistic and cognitive distinctions. It underscores the significance of integrating AI thoughtfully into literary creation, balancing innovation with the preservation of cultural and imaginative contributions that remain uniquely human. © 2025 The Author(s).","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105024102328"
"Yönel T.; Bhargave R.P.; Hattula J.","Yönel, Tanita (59539864700); Bhargave, Rajesh P. (35868002700); Hattula, Johannes (55849056000)","59539864700; 35868002700; 55849056000","Creative Artificial Intelligence for Marketers: A Framework and Research Agenda","2024","Developments in Marketing Science: Proceedings of the Academy of Marketing Science","Part F3978","","","26","37","0","10.1007/978-3-031-76193-5_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216815837&doi=10.1007%2F978-3-031-76193-5_3&partnerID=40&md5=8a708f513026d149a7a5b1e8b4471af1","Emerging Creative Artificial Intelligence (AI) systems, such as MidJourney, Dall-E, and ChatGPT, are gaining attention for their potential to assist marketers in creative tasks like advertisement design and copywriting. These tools could empower marketers and creative professionals to enhance both the quantity and quality of their work. Despite rapid adoption, the concept of creative AI remains relatively underexplored in marketing literature. To address this gap, the present research explores opportunities and challenges of utilizing AI for creative tasks in marketing, with a focus on insights obtained from creative practitioners. Through in-depth interviews with experienced creative professionals, the study captures first-hand experiences and perceptions regarding AI’s impact on marketing creativity. Qualitative data feeds a grounded theory analysis, resulting in a comprehensive model that integrates AI into the creative process and outlines the perceived advantages and disadvantages for creative individuals and their output. The study concludes by offering strategic directions for effectively harnessing creative AI in marketing, laying the groundwork for future inquiries in this evolving field. © Academy of Marketing Science 2024.","Book chapter","Final","","Scopus","2-s2.0-85216815837"
"Yan W.-Y.; Jiun-Ting C.","Yan, Wen-Yang (59349670300); Jiun-Ting, Chen (57192721042)","59349670300; 57192721042","Survey on users' acceptance and intention of using ChatGPT","2024","System Innovation for a Troubled World: Applied System Innovation IX","","","","242","247","0","10.1201/9781003460763-50","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205387086&doi=10.1201%2F9781003460763-50&partnerID=40&md5=1170975d127eda101f4e64fd2dabb63a","In recent years, Taiwan has been following the global trend of Artificial Intelligence (AI) technology development, and the use of AI technology in daily life has become popular. In November 2021, the Chat Generative Pre-trained Transformer (ChatGPT) launched by OpenAI can interact with users in conversational dialogue forms and perform QNA, programming, and copywriting functions. ChatGPT has reached 100 million users worldwide as of January this year and is currently available for free and continues to expand its application. It is expected ChatGPT or similar AI technologies will be closely bound to daily life in the future, and there are already discussions on the understanding, use, and ethics of this new tool among the general public. Therefore, this study aims to investigate users  acceptance and intention of using ChatGPT to understand the current status of this technology tool in their minds. A questionnaire survey will be conducted among adults over 18 years old in Taiwan. The facets of the survey are  willingness to use ,  intent to use ,  information trust , and  stickiness to use . The results are expected to inform user attitudes for industries that will be integrated with AI, provide insight into the research and education of AI technology from the perspective of user needs, and remind society and government to pay more attention to this issue and establish regulations.   2024 the Author(s).","Book chapter","Final","","Scopus","2-s2.0-85205387086"
"Shih J.-Y.; Cheng T.-I.","Shih, Jen-Ying (16032071800); Cheng, Tung-I (57848903800)","16032071800; 57848903800","Feasibility Study of Applying Character-Based Recurrent Neural Networks in Training Marketing Personnel","2022","5th IEEE Eurasian Conference on Educational Innovation 2022, ECEI 2022","","","","177","180","1","10.1109/ECEI53102.2022.9829499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136143844&doi=10.1109%2FECEI53102.2022.9829499&partnerID=40&md5=9df23a947b84c5b7c98fc405b303694f","Artificial intelligence (AI) has been helping companies propose business solutions based on relevant data. Because promotion is one of the critical marketing decisions, referred to as one of 4P (i.e., Product, Pricing, Promotion, and Place) in marketing, it has been an important application area of AI in business. Copywriting is an essential catalyst in bridging customers and products to deliver a compelling promotion message to customers. It is a challenge for marketing managers to obtain copywriting efficiently and effectively to seize a market opportunity because they often suffer iterative discussion problems and difficulty choosing among multiple copywriting contents. Therefore, an automatic copywriting generator implemented by AI may become a feasible approach for training marketing personnel and assisting managers in marketing decision-making. The purpose of this research is to study the effectiveness of applying AI in copywriting generation for the learning of marketing personnel. This research develops character-based recurrent neural networks to generate marketing copywriting automatically and examines its effectiveness compared with award-winning copywriting by surveying marketing managers. The results show that AI-based copywriting sometimes can outperform award-winning copywriting in terms of survey scores.  © 2022 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85136143844"
"Hassani G.; Malekshahi M.; Davari H.","Hassani, Ghodrat (54393167300); Malekshahi, Marziyeh (59970342800); Davari, Hossein (55312334800)","54393167300; 59970342800; 55312334800","AI-Powered Transcreation in Global Marketing: Insights from Iran; [Transkreacija z umetno inteligenco v globalnem marketingu: spoznanja iz Irana]","2025","ELOPE: English Language Overseas Perspectives and Enquiries","22","1","","203","221","1","10.4312/elope.22.1.203-221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009490526&doi=10.4312%2Felope.22.1.203-221&partnerID=40&md5=ac58bdc5320244646cbaa3151ca45c8b","This study examines AI-powered transcreation’s role in improving cross-cultural brand communication. We employed GPT-3 to evaluate AI’s ability to enhance global marketing through improved translation and adaptation of brand messages. Traditional translation methods often fail to capture brand-specific emotional resonance across cultures, but AI tools may address this challenge. Our research compared 10 translation students and 10 professional translators in translating/transcreating brand taglines from Persian to English. An initial test without AI showed professionals outperforming students. After six weeks of GPT-3 training, however, students surpassed professionals, as judged by expert raters using standardized criteria. The findings indicate that targeted AI training can improve transcreation quality. The study also underscores the value of human judgment in crafting prompts and choosing optimal AI outputs. These results also offer insights for translation education, professional training, and global marketing strategies. © 2025, University of Ljubljana Press. All rights reserved.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105009490526"
